,match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
99,5233560402,4391446182,True,1581201303,683,6263,9,7,3,79,10,227,"87,59,67,101,28","120,45,62,76,44"
98,5233556314,4391441939,True,1581200988,630,5398,3,7,22,80,4,122,"16,12,50,51,128","93,106,60,75,87"
97,5233552413,4391449502,True,1581200673,1530,4428,4,7,22,72,8,183,"26,126,13,101,93","61,74,111,83,1"
96,5233550704,4391449136,False,1581200565,1589,4397,1,7,22,61,5,203,"42,30,11,33,69","102,76,87,54,86"
95,5233550606,4391440087,True,1581200560,863,4172,3,7,22,70,4,135,"74,79,106,91,14","75,37,69,93,86"
94,5233550410,4391447578,False,1581200547,1587,4596,7,7,22,71,9,122,"54,60,107,26,39","93,13,21,51,16"
93,5233550003,4391448919,False,1581200513,1693,4427,7,7,22,66,9,122,"17,109,104,19,31","128,22,28,50,54"
92,5233549317,4391448252,False,1581200463,1745,4441,4,7,22,72,5,133,"85,46,8,26,28","14,59,31,110,41"
91,5233549210,4391444609,False,1581200465,1472,4991,4,7,22,79,7,154,"98,54,13,37,126","46,7,84,12,65"
90,5233548801,4391440517,True,1581200430,1074,6206,4,7,22,80,5,133,"54,111,86,59,65","3,121,96,1,32"
89,5233547109,4391441921,True,1581200299,1376,4155,1,7,22,59,5,192,"38,6,80,128,101","22,54,45,62,84"
88,5233546907,4391448137,False,1581200291,1760,4303,4,7,22,77,7,135,"89,90,126,110,17","57,59,4,105,128"
87,5233546613,4391449189,True,1581200263,1990,4340,3,7,22,72,5,191,"104,101,39,111,48","51,93,64,68,23"
86,5233546503,4391442037,True,1581200262,1483,4909,5,7,22,80,7,136,"126,112,42,45,31","74,41,27,64,104"
85,5233546006,4391446572,False,1581200221,1770,4735,5,7,22,78,8,201,"93,86,23,53,11","62,95,129,87,21"
84,5233545208,4391448763,False,1581200166,1934,5113,5,7,22,78,7,132,"59,64,108,8,87","112,56,16,31,54"
83,5233545014,4391442672,True,1581200146,1576,4195,1,0,22,37,3,187,"102,76,114,5,129","14,4,68,23,8"
