,match_id,radiant_win,avg_mmr,lobby_type,game_mode,radiant_team,dire_team
99,5233573507,False,4230,7,22,"46,107,41,63,20","87,59,74,21,95"
98,5233573106,True,4177,0,4,"41,59,31,30,51","38,75,81,27,101"
97,5233568407,False,4111,7,22,"22,14,69,6,82","48,64,40,114,104"
96,5233567917,True,4365,7,22,"102,26,4,128,36","64,93,13,126,101"
95,5233566314,False,4434,7,22,"52,109,58,98,90","86,128,74,10,13"
94,5233566211,False,4835,0,22,"111,75,1,28,14","50,40,126,114,72"
93,5233565711,False,4361,0,22,"51,101,58,14,44","26,104,108,28,35"
92,5233563507,False,4235,7,22,"32,74,100,10,26","128,13,44,37,23"
91,5233562304,True,4114,0,4,"78,5,56,31,106","34,54,16,33,64"
90,5233562005,True,4318,7,22,"12,84,112,4,23","14,74,31,42,114"
89,5233561714,False,4158,7,22,"86,31,97,44,74","28,14,95,83,22"
88,5233561304,True,4433,7,22,"128,11,13,54,51","26,75,93,82,16"
87,5233561013,True,4226,7,22,"4,74,87,28,22","70,86,54,26,104"
86,5233560904,True,4762,7,22,"111,98,6,46,14","83,10,105,126,99"
85,5233560819,True,4146,7,22,"114,105,6,23,90","103,80,87,28,44"
84,5233560809,True,4534,7,22,"126,55,91,19,31","4,84,58,26,93"
83,5233560713,True,4165,7,22,"31,112,69,35,12","120,121,128,13,44"
82,5233560709,True,4309,7,22,"14,13,67,105,68","101,53,102,114,97"
81,5233560706,True,5872,7,22,"8,69,87,74,20","76,65,67,14,25"
80,5233560402,True,6263,7,3,"59,28,67,101,87","45,44,62,76,120"
79,5233560309,False,4615,0,4,"90,70,49,31,57","3,16,35,42,86"
78,5233560305,False,4123,7,22,"50,86,54,120,82","37,96,27,8,61"
77,5233559904,True,4142,0,22,"7,11,10,79,21","100,56,126,47,86"
76,5233559107,False,4109,7,22,"28,26,75,44,10","21,19,58,128,6"
75,5233559000,True,4224,7,22,"9,14,71,41,68","93,121,31,108,76"
74,5233558110,True,6542,7,22,"80,95,7,10,31","96,82,8,26,48"
73,5233557910,False,5218,7,22,"93,11,119,58,110","71,106,129,12,62"
72,5233557813,True,4375,7,22,"31,14,8,28,19","129,17,112,70,55"
71,5233557808,True,4602,7,22,"36,88,87,11,54","99,128,10,120,30"
70,5233557405,True,4132,7,22,"15,20,26,129,44","36,47,31,14,70"
69,5233557314,False,4980,7,22,"7,113,3,45,13","128,59,54,86,28"
68,5233557011,True,4330,7,22,"74,26,14,15,6","44,91,39,99,107"
67,5233556811,True,4397,7,22,"126,2,7,1,87","19,31,22,54,14"
66,5233556718,False,4234,7,22,"50,19,10,75,29","36,1,13,20,119"
65,5233556717,True,4463,7,22,"14,54,129,23,31","20,19,45,126,6"
64,5233556716,True,4320,7,22,"89,46,87,120,104","37,114,42,86,67"
63,5233556715,False,4185,7,22,"6,20,50,77,102","64,28,35,25,89"
62,5233556418,True,5028,7,22,"14,8,45,112,129","12,26,43,126,103"
61,5233556417,True,4486,7,22,"129,128,13,119,63","75,57,54,58,65"
60,5233556400,True,4100,7,22,"74,102,12,107,51","50,101,93,100,14"
59,5233556314,True,5398,7,22,"50,12,51,128,16","60,106,75,87,93"
58,5233556301,True,4373,7,22,"28,114,74,84,6","95,51,21,20,121"
57,5233556219,False,4578,0,22,"46,62,72,40,14","121,28,93,38,21"
56,5233556210,False,4227,7,22,"74,14,95,5,6","21,37,93,40,85"
55,5233556008,False,4398,7,22,"88,40,28,71,13","93,128,83,113,104"
54,5233555013,False,4137,7,22,"112,25,108,44,106","20,17,21,8,9"
53,5233554509,False,4630,7,3,"44,57,46,37,7","114,121,31,104,54"
52,5233554212,True,4114,7,22,"84,25,86,96,15","99,34,47,3,93"
51,5233554115,True,4329,7,22,"9,114,54,91,28","75,86,93,23,108"
50,5233554100,False,4596,7,22,"31,76,86,12,108","8,126,51,5,121"
49,5233553801,False,4359,0,22,"86,80,11,129,50","126,101,74,1,36"
48,5233553705,False,4132,7,22,"87,70,5,74,21","104,76,50,85,1"
47,5233553409,False,4149,7,3,"12,69,35,62,64","114,58,22,63,86"
46,5233553407,False,5511,0,22,"86,2,10,12,45","8,106,58,23,26"
45,5233553112,True,5204,7,22,"41,101,8,107,31","39,36,109,14,26"
44,5233553002,False,4157,0,22,"50,2,35,93,84","14,15,112,104,74"
43,5233552712,False,4698,7,22,"105,31,39,8,2","84,22,44,14,99"
42,5233552612,False,4535,7,22,"76,110,126,26,42","41,128,11,13,32"
41,5233552414,False,4314,7,22,"86,34,119,71,54","1,39,87,14,108"
40,5233552413,True,4428,7,22,"93,26,126,13,101","1,61,74,111,83"
39,5233552401,True,4116,7,22,"18,26,4,51,94","6,63,5,93,31"
38,5233552310,True,5533,7,22,"128,88,22,50,1","45,101,4,46,68"
37,5233552213,False,4124,7,3,"83,129,31,97,95","86,54,15,128,104"
36,5233552202,True,4183,7,22,"7,54,11,57,31","62,13,20,18,10"
35,5233551608,True,4462,7,22,"17,28,95,20,84","69,51,76,8,121"
34,5233550706,True,4211,7,22,"128,11,87,70,2","104,82,103,68,6"
33,5233550704,False,4397,7,22,"42,11,33,69,30","102,87,54,86,76"
32,5233550703,True,5118,7,22,"95,58,126,86,28","32,40,121,53,102"
31,5233550606,True,4172,7,22,"14,91,106,79,74","86,93,69,37,75"
30,5233550410,False,4596,7,22,"60,107,39,54,26","13,21,16,93,51"
29,5233550402,False,4240,7,22,"9,14,12,21,50","71,114,84,11,69"
28,5233550206,False,5175,7,22,"112,47,128,104,15","70,35,80,71,68"
27,5233550019,True,4505,7,22,"59,13,14,23,32","47,88,129,8,87"
26,5233550003,False,4427,7,22,"109,17,104,19,31","22,128,28,50,54"
25,5233549713,True,4519,7,22,"121,69,35,68,54","19,44,119,23,112"
24,5233549317,False,4441,7,22,"26,8,46,85,28","110,31,59,14,41"
23,5233549210,False,4991,7,22,"126,54,13,98,37","65,7,84,46,12"
22,5233548801,True,6206,7,22,"111,86,65,59,54","121,96,32,1,3"
21,5233548607,True,4111,0,4,"38,11,89,56,42","54,20,63,47,4"
20,5233548413,False,4613,7,22,"44,17,83,59,64","3,104,128,54,11"
19,5233547109,True,4155,7,22,"101,6,38,80,128","84,54,22,45,62"
18,5233546907,False,4303,7,22,"126,17,110,89,90","4,128,105,57,59"
17,5233546806,True,4226,7,22,"18,75,43,112,129","76,31,15,53,28"
16,5233546613,True,4340,7,22,"101,39,111,48,104","93,64,68,23,51"
15,5233546515,False,4121,7,22,"4,129,14,87,39","13,108,58,63,121"
14,5233546507,True,5394,7,22,"50,39,105,62,35","112,91,28,25,6"
13,5233546503,True,4909,7,22,"45,42,112,126,31","64,27,41,74,104"
12,5233546210,False,4258,7,22,"69,101,114,75,70","50,21,1,128,2"
11,5233546015,True,4250,7,22,"70,13,32,128,25","121,6,28,46,51"
10,5233546006,False,4735,7,22,"93,11,23,86,53","62,21,129,95,87"
9,5233546003,True,4974,7,22,"34,10,87,2,86","14,25,47,93,27"
8,5233545808,False,5027,7,22,"98,100,94,6,31","70,83,20,74,47"
7,5233545518,False,4538,0,22,"16,48,29,5,21","119,67,13,33,14"
6,5233545218,True,6342,1,2,"126,12,15,107,58","7,31,4,120,46"
5,5233545208,False,5113,7,22,"64,59,108,8,87","56,112,16,31,54"
4,5233545014,True,4195,0,22,"5,114,76,129,102","23,68,4,8,14"
3,5233544904,True,4417,7,22,"31,93,13,7,56","11,14,111,41,128"
2,5233544416,False,4288,7,22,"26,44,59,23,103","57,25,80,128,47"
1,5233544309,True,4797,7,22,"128,110,93,36,13","102,59,8,31,100"
0,5233544214,False,4559,7,22,"8,75,104,65,80","54,86,96,128,97"
99,5233544209,False,4142,7,22,"28,113,26,54,107","14,75,15,21,42"
98,5233543814,True,4655,7,22,"6,74,40,20,104","28,59,44,31,128"
97,5233543805,True,4817,7,22,"30,28,71,54,22","9,64,14,11,4"
96,5233543703,True,4379,7,22,"3,16,4,86,114","83,26,28,93,113"
95,5233543016,False,4790,0,22,"7,5,6,34,98","17,87,71,85,54"
94,5233543003,True,5058,7,22,"51,10,103,20,46","40,91,93,16,9"
93,5233542902,True,4177,7,22,"48,20,2,32,94","13,79,28,19,114"
92,5233542807,True,4340,7,22,"19,114,51,78,89","47,54,87,88,98"
91,5233542713,False,4271,7,22,"86,27,1,46,97","90,19,76,54,69"
90,5233542619,False,4596,0,22,"14,105,62,59,19","49,93,2,64,13"
89,5233542419,False,4829,7,22,"39,14,94,31,104","109,119,111,2,78"
88,5233541812,True,5351,7,22,"59,8,128,100,108","25,41,51,26,14"
87,5233541809,True,4165,7,22,"31,114,80,111,1","95,19,126,86,26"
86,5233541600,False,4521,7,22,"70,59,91,101,19","64,12,126,2,58"
85,5233541416,False,4509,0,22,"102,1,15,20,129","65,8,16,33,126"
84,5233541218,True,5121,7,22,"47,13,8,129,30","79,29,128,91,93"
83,5233540117,True,4365,7,22,"22,42,75,27,98","14,74,84,49,41"
82,5233540105,False,5167,7,22,"110,70,60,84,21","92,48,121,104,26"
81,5233539708,True,4760,7,22,"5,12,13,51,75","34,31,86,8,60"
80,5233539519,False,4702,7,22,"76,51,93,30,101","86,28,119,26,1"
79,5233539503,False,4389,7,22,"64,8,21,88,13","121,110,59,114,57"
78,5233539417,False,4785,7,22,"110,46,64,87,12","120,8,84,74,26"
77,5233539300,True,4380,7,22,"31,56,7,54,65","113,12,128,83,13"
76,5233539203,False,4575,7,22,"73,19,63,1,14","44,82,31,95,26"
75,5233539008,False,4112,7,22,"96,26,74,112,12","14,104,120,50,114"
74,5233538710,False,4435,7,22,"74,27,63,93,17","14,126,4,80,121"
73,5233538606,True,4391,7,22,"22,40,95,83,47","13,1,86,59,107"
72,5233538600,True,4589,7,22,"51,31,119,18,21","19,100,12,128,104"
71,5233538318,False,4113,7,22,"69,14,23,93,20","68,15,86,28,11"
70,5233538107,True,4275,0,22,"14,114,71,5,94","23,48,26,47,74"
69,5233538100,False,4840,7,22,"88,44,73,79,107","114,75,53,128,6"
68,5233538000,False,4318,7,22,"87,2,106,15,7","34,51,66,54,121"
67,5233537413,True,4515,7,22,"12,87,27,104,47","25,19,45,9,93"
66,5233537403,False,4391,7,22,"6,3,7,32,126","67,83,13,28,36"
65,5233537017,True,4271,7,22,"54,102,46,128,14","105,104,25,1,119"
64,5233536912,False,4628,7,22,"4,51,106,58,84","69,93,90,100,17"
63,5233536806,True,4352,7,22,"43,28,9,44,62","13,38,93,31,91"
62,5233536708,True,4459,0,4,"93,32,35,87,15","45,20,63,21,126"
61,5233536602,False,4305,7,22,"31,52,101,70,104","36,21,30,12,22"
60,5233536506,False,4418,7,22,"110,6,75,120,126","31,8,114,83,98"
59,5233536502,False,4577,0,22,"32,93,110,26,30","40,23,28,4,101"
58,5233536500,True,5484,7,22,"58,35,87,100,93","82,128,47,3,16"
57,5233536402,False,4765,7,3,"72,25,58,71,30","40,101,39,18,21"
56,5233536117,False,4347,7,22,"106,51,31,25,114","128,28,35,101,6"
55,5233536101,True,4698,0,4,"100,47,104,76,6","72,18,128,56,87"
54,5233536006,True,4590,7,22,"31,57,82,84,4","129,77,46,112,74"
53,5233535917,True,4127,7,22,"19,84,14,6,37","18,120,114,50,90"
52,5233535817,True,4315,7,3,"73,100,32,104,27","84,69,54,76,22"
51,5233535317,False,5103,7,22,"10,129,87,19,98","13,5,25,112,12"
50,5233535117,False,5751,7,22,"104,31,80,7,12","86,16,11,53,102"
49,5233535116,False,4417,7,22,"46,1,13,40,30","70,25,91,28,31"
48,5233534919,False,5239,7,22,"95,110,93,79,128","106,96,26,121,1"
47,5233534800,True,5760,7,22,"102,93,120,88,3","104,65,42,46,128"
46,5233534714,True,4191,7,22,"8,64,62,34,28","87,23,52,54,14"
45,5233534512,False,4737,7,22,"120,105,2,4,46","36,69,128,14,11"
44,5233534418,True,4425,7,22,"106,50,71,17,20","128,82,12,80,87"
43,5233534307,True,5411,7,22,"11,19,104,72,86","10,56,37,1,58"
42,5233534217,False,4278,7,22,"121,114,44,108,91","107,13,6,58,31"
41,5233533815,True,4353,7,22,"88,67,84,106,111","31,46,75,12,33"
40,5233533713,True,4322,7,22,"75,69,87,22,12","11,119,26,114,53"
39,5233533616,False,4638,7,22,"95,13,86,64,51","32,69,128,12,14"
38,5233533105,True,4371,7,22,"60,114,121,31,39","14,22,104,84,4"
37,5233532915,True,4484,7,22,"12,4,22,105,69","129,64,15,6,75"
36,5233532306,True,4434,7,22,"14,19,41,30,25","26,114,7,98,106"
35,5233532208,True,4373,7,22,"6,15,104,84,30","39,1,5,96,121"
34,5233532200,False,6181,7,22,"129,30,25,95,7","8,36,86,20,49"
33,5233532004,True,4489,0,22,"113,120,26,11,19","46,51,31,10,110"
32,5233531917,True,5239,0,4,"61,56,51,83,13","106,54,73,71,114"
31,5233531602,True,4916,7,22,"112,12,88,21,126","119,93,129,68,11"
30,5233531512,True,4550,7,22,"31,83,120,11,93","23,113,88,84,57"
29,5233531317,False,4351,7,22,"106,31,86,97,96","17,84,98,54,64"
28,5233531103,True,4132,7,22,"31,76,86,98,41","70,34,19,74,14"
27,5233530406,False,4615,7,22,"98,41,128,121,16","53,20,6,57,59"
26,5233530200,False,4737,7,22,"44,26,25,128,14","6,84,28,11,85"
25,5233530010,True,4685,7,22,"58,6,16,25,11","8,59,15,31,119"
24,5233530005,False,4923,7,22,"58,28,54,114,50","70,106,99,75,27"
23,5233529910,True,4635,7,22,"34,58,32,28,128","104,121,26,12,40"
22,5233529711,True,4804,0,22,"83,74,86,54,70","30,32,93,97,114"
21,5233529710,True,4294,7,22,"16,50,114,40,82","81,101,62,68,14"
20,5233529603,True,4524,0,22,"17,5,50,38,1","31,67,55,34,128"
19,5233529314,False,4176,7,22,"87,10,1,39,104","31,94,19,73,14"
18,5233529303,False,4558,7,22,"28,14,11,25,93","41,4,21,99,128"
17,5233529100,True,4108,7,22,"68,104,12,126,107","88,93,69,47,84"
16,5233528712,False,5026,7,22,"80,87,86,13,32","25,12,14,74,51"
15,5233528318,True,5776,7,22,"25,84,114,104,17","70,31,28,91,11"
14,5233528117,False,5762,7,22,"103,93,38,121,91","126,8,31,5,51"
13,5233528112,True,5670,7,22,"11,3,28,7,54","13,98,95,30,86"
12,5233528019,False,4179,7,22,"58,111,45,21,54","91,19,15,93,11"
11,5233527806,True,4522,7,22,"119,75,54,69,97","83,8,112,114,23"
10,5233527600,True,4301,7,22,"129,23,128,19,44","21,109,88,28,86"
9,5233527505,False,4297,7,22,"33,57,128,72,17","23,13,86,34,12"
8,5233527502,False,4240,7,2,"86,97,20,31,44","121,3,95,104,74"
