,match_id,radiant_win,avg_mmr,duration,lobby_type,game_mode,radiant_team,dire_team
0,5989913905,True,3070,2146,0,22,"105,44,31,8,19","32,70,123,14,74"
1,5989913906,False,3534,1992,7,22,"27,88,2,8,10","128,68,84,9,81"
2,5989913907,True,3176,1672,7,22,"120,74,123,93,99","30,119,44,70,47"
3,5989913913,True,2860,1635,0,22,"49,22,26,8,96","119,1,23,29,71"
4,5989914701,False,2890,1942,7,22,"104,11,26,76,94","10,35,88,1,19"
5,5989914703,False,3326,2022,0,4,"18,100,121,57,21","6,13,53,90,129"
6,5989914711,False,2851,1975,0,22,"109,8,54,5,95","25,51,75,67,35"
7,5989914716,False,2679,1876,7,22,"86,104,26,47,70","28,10,90,36,102"
8,5989914906,False,2841,2056,7,22,"44,74,81,13,26","65,19,8,7,110"
9,5989914909,True,2646,1660,7,22,"93,98,26,40,13","62,48,53,75,82"
10,5989914913,False,4236,1577,7,22,"11,87,26,100,70","110,68,97,22,42"
11,5989915118,False,3044,1895,7,22,"10,3,60,123,126","8,56,87,96,121"
12,5989915202,True,3760,1855,7,22,"46,71,104,87,81","86,68,93,21,106"
13,5989915318,False,3763,1874,7,22,"46,106,67,84,71","21,22,10,12,14"
14,5989915403,True,3122,1896,7,22,"106,14,26,36,4","97,87,12,62,25"
15,5989915418,False,4289,1028,7,22,"111,47,8,9,11","123,93,27,17,129"
16,5989915515,True,4228,1309,0,22,"23,35,86,102,40","20,21,95,105,16"
17,5989915516,True,4432,1692,7,22,"11,84,98,71,73","64,45,69,36,54"
18,5989915518,True,3874,1962,7,22,"42,40,79,126,119","70,84,96,27,59"
19,5989915604,True,3713,1584,7,22,"108,74,93,135,79","53,72,48,128,104"
20,5989915708,True,2588,1876,7,22,"74,25,86,42,93","11,51,62,26,44"
21,5989915801,True,3601,1607,7,22,"99,9,44,119,39","8,105,36,34,93"
22,5989915811,True,4172,1225,7,22,"10,42,30,123,129","96,62,74,26,41"
23,5989915910,True,3634,1543,7,22,"15,52,72,102,123","59,7,48,25,71"
24,5989916118,False,3227,1709,7,22,"104,26,46,1,19","86,109,15,25,85"
25,5989916315,True,3098,1212,7,22,"83,100,2,8,85","87,12,129,119,17"
26,5989916419,True,3633,1737,7,22,"37,51,70,7,53","72,68,2,86,5"
27,5989916511,True,3689,1668,7,22,"82,1,64,123,96","54,14,87,26,46"
28,5989916702,False,2687,1887,7,22,"120,107,27,114,35","104,74,41,62,87"
29,5989917004,True,4465,1651,7,22,"27,42,101,88,21","100,107,86,8,11"
30,5989917012,True,3215,1854,0,22,"42,123,86,108,113","129,68,126,12,27"
31,5989917108,True,4443,1831,7,22,"72,16,91,8,87","39,120,12,84,27"
32,5989917109,True,2644,1865,7,22,"29,67,50,121,35","100,46,2,63,26"
33,5989917208,True,3998,1296,0,22,"14,102,106,105,59","109,90,49,23,20"
34,5989917404,False,3954,1761,7,22,"96,114,34,100,5","29,74,72,50,71"
35,5989917510,True,4558,828,7,22,"28,26,112,61,94","19,4,98,87,62"
36,5989918008,False,3454,1538,7,22,"99,8,45,27,69","22,94,104,119,83"
37,5989918017,True,2808,1699,7,22,"67,11,5,68,71","39,35,26,48,23"
